MD,X,Y,Z,TVD,DX,DY,AZIM_TN,INCL,DLS,AZIM_GN
0,589178.75,2155844.75,36.7,0,1.5E-09,1.9E-09,0.283629813,0,0,0
15,589178.7508,2155844.753,21.70000048,14.99999952,0.000750943,0.003184155,13.55362981,0.025,0.05,13.27
30,589178.753,2155844.763,6.700003808,29.99999619,0.003003767,0.012736613,13.55362981,0.05,0.05,13.27
45,589178.7484,2155844.768,-8.299993221,44.99999322,-0.001578452,0.018425142,263.9084016,0.046782462,0.158258039,263.6247717
60,589178.7287,2155844.76,-23.29997666,59.99997666,-0.021332639,0.010017501,240.8036298,0.12,0.158258039,240.52
75,589178.7036,2155844.741,-38.29994375,74.99994375,-0.046415489,-0.008743309,226.2530815,0.12130354,0.06117034,225.9694517
90,589178.683,2155844.716,-53.299908,89.999908,-0.06698372,-0.034114297,212.8436298,0.13,0.06117034,212.56
105,589178.6709,2155844.728,-68.29987867,104.9998787,-0.079066823,-0.021637763,354.0527543,0.206127929,0.636117302,353.7691245
120,589178.6713,2155844.823,-83.29955978,119.9995598,-0.078694108,0.073143309,3.063629813,0.52,0.636117302,2.78
130,589178.6797,2155844.962,-93.2985499,129.9985499,-0.070307833,0.212167584,4.060271062,1.076589327,1.670224382,3.776641249
140,589178.6961,2155845.198,-103.2957146,139.9957146,-0.053950527,0.447986701,4.377603237,1.633282353,1.670224382,4.093973424
150,589178.7204,2155845.531,-113.2901098,149.9901098,-0.029623735,0.780578392,4.533629813,2.19,1.670224382,4.25
165,589178.7581,2155846.114,-128.2787001,164.9787001,0.008122986,1.364081209,3.457791649,2.279628983,0.197915035,3.174161835
180,589178.7864,2155846.722,-143.2663529,179.966353,0.036430578,1.971683676,2.463629813,2.37,0.197915035,2.18
190,589178.8021,2155847.162,-153.256645,189.956645,0.052105073,2.411528857,2.201452413,2.676626346,0.920528163,1.9178226
200,589178.8177,2155847.655,-163.2444376,199.9444376,0.067677601,2.904853478,1.993138189,2.983297157,0.920528163,1.709508376
210,589178.8332,2155848.202,-173.2294445,209.9294445,0.083147708,3.451643387,1.823629813,3.29,0.920528163,1.54
220,589178.8394,2155848.798,-183.2116271,219.9116271,0.089379134,4.047944982,0.010063386,3.550468932,0.846044581,359.7264336
230,589178.8272,2155849.44,-193.1909766,229.8909766,0.077235883,4.689805039,358.4454313,3.81400004,0.846044581,358.1618015
240,589178.7967,2155850.127,-203.1672514,239.8672514,0.046718247,5.377208009,357.0836298,4.08,0.846044581,356.8
255,589178.7255,2155851.195,-218.1290148,254.8290148,-0.024483741,6.444834337,355.8562115,4.104072661,0.181666032,355.5725816
270,589178.631,2155852.267,-233.0903098,269.7903098,-0.118975726,7.517204627,354.6436298,4.13,0.181666032,354.36
285,589178.5086,2155853.328,-248.0522289,284.7522289,-0.241379177,8.577936271,352.7370152,4.037669338,0.32837495,352.4533854
300,589178.3537,2155854.361,-263.015808,299.715808,-0.396314998,9.610642682,350.7436298,3.95,0.32837495,350.46
315,589178.1653,2155855.379,-277.9800213,314.6800213,-0.58472622,10.6285214,348.8541706,3.967869943,0.263326372,348.5705407
330,589177.9424,2155856.395,-292.943872,329.643872,-0.807555983,11.64477207,346.9836298,3.99,0.263326372,346.7
345,589177.6852,2155857.419,-307.9066149,344.6066149,-1.064783527,12.66915457,345.411154,4.088538145,0.296487183,345.1275242
360,589177.3936,2155858.461,-322.8674906,359.5674906,-1.356387663,13.71142779,343.9136298,4.19,0.296487183,343.63
375,589177.0699,2155859.526,-337.8261525,374.5261525,-1.680084536,14.77574701,342.8372391,4.319284861,0.303907921,342.5536093
390,589176.7164,2155860.616,-352.7822507,389.4822507,-2.033589996,15.86626713,341.8236298,4.45,0.303907921,341.54
405,589176.3267,2155861.741,-367.7348804,404.4348804,-2.423330946,16.99134738,340.5592139,4.658967548,0.463649032,340.2755841
420,589175.8943,2155862.909,-382.6830435,419.3830435,-2.855731544,18.15933969,339.4036298,4.87,0.463649032,339.12
435,589175.427,2155864.118,-397.6269266,434.3269266,-3.32302426,19.3679737,338.8966763,5.044816681,0.360441105,338.6130465
450,589174.9326,2155865.365,-412.5667808,449.2667808,-3.81744304,20.61498367,338.4236298,5.22,0.360441105,338.14
465,589174.412,2155866.643,-427.5031359,464.2031359,-4.338035221,21.89288529,337.8204093,5.339718661,0.263919301,337.5367795
480,589173.8662,2155867.944,-442.4365672,479.1365672,-4.883849494,23.1941979,337.2436298,5.46,0.263919301,336.96
495,589173.3024,2155869.261,-457.3680119,494.0680119,-5.44756152,24.51060841,336.9615997,5.499934731,0.096336302,336.6779699
510,589172.7282,2155870.584,-472.2984529,508.9984529,-6.021848602,25.83380769,336.6836298,5.54,0.096336302,336.4
525,589172.1444,2155871.916,-487.2276914,523.9276914,-6.605588526,27.16639554,336.5725519,5.594989755,0.112071497,336.2889221
540,589171.5523,2155873.261,-502.155526,538.855526,-7.197658968,28.51097153,336.4636298,5.65,0.112071497,336.18
555,589170.958,2155874.595,-517.0841917,553.7841917,-7.792027569,29.84524568,336.0771748,5.529869462,0.251779558,335.7935449
570,589170.3673,2155875.897,-532.0158849,568.7158849,-8.382660424,31.14692459,335.6736298,5.41,0.251779558,335.39
585,589169.7627,2155877.2,-546.9468889,583.6468889,-8.987278354,32.45004417,335.1219188,5.584758301,0.365148127,334.8382889
600,589169.1264,2155878.539,-561.8734341,598.5734341,-9.623599922,33.78863565,334.6036298,5.76,0.365148127,334.32
615,589168.4633,2155879.914,-576.7954443,613.4954443,-10.28673912,35.16423879,334.4904876,5.929989158,0.340758244,334.2068578
630,589167.7782,2155881.328,-591.7128565,628.4128565,-10.97181024,36.57839419,334.3836298,6.1,0.340758244,334.1
645,589167.0507,2155882.786,-606.6240686,643.3240686,-11.69926102,38.03593898,333.1633603,6.37368426,0.608172213,332.8797305
660,589166.2605,2155884.292,-621.5272868,658.2272868,-12.48952922,39.54169098,332.0436298,6.65,0.608172213,331.76
675,589165.4201,2155885.846,-636.422766,673.122766,-13.3299243,41.09611315,331.7334394,6.884906636,0.47546538,331.4498095
690,589164.5422,2155887.45,-651.31087,688.01087,-14.20776052,42.69967853,331.4436298,7.12,0.47546538,331.16
700,589163.945,2155888.563,-661.2306555,697.9306556,-14.80499973,43.81319994,332.6855907,7.40359436,0.972391828,332.4019609
710,589163.3487,2155889.733,-671.1440259,707.8440259,-15.4013022,44.98290297,333.8359195,7.690375554,0.972391828,333.5522897
720,589162.7534,2155890.959,-681.0506637,717.7506637,-15.99664884,46.20875018,334.9036298,7.98,0.972391828,334.62
730,589162.1529,2155892.235,-690.9506908,727.6506908,-16.59712164,47.48449382,335.2469682,8.236400511,0.782796848,334.9633383
740,589161.5412,2155893.554,-700.8443036,737.5443036,-17.20880692,48.80389418,335.5697035,8.493075221,0.782796848,335.2860737
750,589160.9183,2155894.917,-710.7312969,747.4312969,-17.831692,50.16692391,335.8736298,8.75,0.782796848,335.59
760,589160.2745,2155896.319,-720.6114815,757.3114815,-18.4755009,51.56900921,335.373557,9.006046095,0.802266516,335.0899272
770,589159.6,2155897.756,-730.4846617,767.1846617,-19.14995675,53.0055745,334.900944,9.262729958,0.802266516,334.6173142
780,589158.895,2155899.227,-740.3506224,777.0506224,-19.85504486,54.47658847,334.4536298,9.52,0.802266516,334.17
795,589157.7858,2155901.468,-755.1404882,791.8404882,-20.96420551,56.71836191,333.4723447,9.683652768,0.462905276,333.1887149
810,589156.6195,2155903.729,-769.923087,806.623087,-22.13047769,58.9789747,332.5236298,9.85,0.462905276,332.24
825,589155.4103,2155905.965,-784.7060537,821.4060537,-23.33966102,61.21446112,331.213248,9.667425629,0.575010951,330.9296182
840,589154.1725,2155908.131,-799.4969359,836.1969359,-24.57754723,63.38084274,329.8536298,9.49,0.575010951,329.57
855,589152.9074,2155910.224,-814.2960233,850.9960233,-25.84258965,65.47428834,328.4101127,9.286976793,0.621800237,328.1264829
870,589151.6168,2155912.241,-829.1035633,865.8035633,-27.13323732,67.49096261,326.9036298,9.09,0.621800237,326.62
885,589150.2985,2155914.219,-843.9138499,880.6138499,-28.45146982,69.4693935,326.3145116,9.154530914,0.227047011,326.0308818
900,589148.9507,2155916.198,-858.7214289,895.421429,-29.79928845,71.44814374,325.7336298,9.22,0.227047011,325.45
915,589147.5777,2155918.183,-873.525849,910.225849,-31.17233296,73.43316998,325.4914567,9.304919802,0.186876861,325.2078269
930,589146.1838,2155920.18,-888.3266709,925.0266709,-32.56624412,75.43043053,325.2536298,9.39,0.186876861,324.97
945,589144.779,2155922.194,-903.1242919,939.8242919,-33.9709602,77.44376459,325.5053329,9.454911624,0.153772693,325.2217031
960,589143.3736,2155924.227,-917.9191174,954.6191174,-35.37642023,79.47701246,325.7536298,9.52,0.153772693,325.47
975,589141.9998,2155926.251,-932.7181372,969.4181372,-36.75020979,81.50127217,326.4973363,9.259189548,0.575294191,326.2137065
990,589140.6901,2155928.238,-947.5281102,984.2281102,-38.05989335,83.48761032,327.2836298,9,0.575294191,327
1000,589139.8644,2155929.536,-957.4088773,994.1088774,-38.88565107,84.78639805,328.4060127,8.713030599,1.004903681,328.1223829
1010,589139.0906,2155930.81,-967.2971868,1003.997187,-39.65941316,86.05958435,329.6037516,8.429575046,1.004903681,329.3201218
1020,589138.3689,2155932.057,-977.1927006,1013.892701,-40.38115316,87.3071257,330.8836298,8.15,1.004903681,330.6
1035,589137.3724,2155933.914,-992.0438677,1028.743868,-41.37756092,89.1636209,333.2581946,8.007975693,0.725296441,332.9745648
1050,589136.4704,2155935.779,-1006.899963,1043.599963,-42.27959642,91.02894313,335.7136298,7.88,0.725296441,335.43
1065,589135.6177,2155937.666,-1021.756257,1058.456257,-43.13228841,92.91593843,336.2157038,7.994705551,0.268059281,335.932074
1080,589134.7693,2155939.588,-1036.608363,1073.308363,-43.98068726,94.83749568,336.7036298,8.11,0.268059281,336.42
1095,589133.9121,2155941.531,-1051.457058,1088.157059,-44.83794142,96.7813567,336.2699751,8.179772771,0.185934188,335.9863453
1110,589133.0328,2155943.485,-1066.303146,1103.003146,-45.71720095,98.73526684,335.8436298,8.25,0.185934188,335.56
1125,589132.1317,2155945.451,-1081.146319,1117.846319,-46.61827878,100.7013278,335.4799844,8.334837802,0.19947977,335.1963546
1140,589131.209,2155947.432,-1095.986266,1132.686266,-47.54098752,102.6816409,335.1236298,8.42,0.19947977,334.84
1155,589130.2804,2155949.416,-1110.825352,1147.525352,-48.46955696,104.6656746,335.2828715,8.37996779,0.092600581,334.9992417
1170,589129.3618,2155951.393,-1125.665963,1162.365963,-49.38821833,106.6429009,335.4436298,8.34,0.092600581,335.16
1185,589128.4528,2155953.36,-1140.508566,1177.208566,-50.29720212,108.6096333,335.5130838,8.27499391,0.131552172,335.229454
1200,589127.5533,2155955.312,-1155.353618,1192.053618,-51.1967384,110.5621845,335.5836298,8.21,0.131552172,335.3
1215,589126.6639,2155957.243,-1170.20212,1206.90212,-52.0861262,112.4930286,335.5195876,8.089994864,0.240696121,335.2359577
1230,589125.7853,2155959.145,-1185.055043,1221.755043,-52.96466273,114.3946356,335.4536298,7.97,0.240696121,335.17
1245,589124.9193,2155961.024,-1199.911513,1236.611513,-53.83069668,116.2741732,335.6368835,7.894959368,0.158375143,335.3532537
1260,589124.0674,2155962.889,-1214.77068,1251.47068,-54.68257824,118.1388122,335.8236298,7.82,0.158375143,335.54
1275,589123.2383,2155964.734,-1229.633585,1266.333585,-55.51172769,119.9837993,336.3492878,7.684669083,0.30556047,336.065658
1290,589122.4404,2155966.554,-1244.501216,1281.201216,-56.30956247,121.804375,336.8936298,7.55,0.30556047,336.61
1305,589121.6663,2155968.352,-1259.372887,1296.072887,-57.08374119,123.6020535,337.0761606,7.449961608,0.205672403,336.7925308
1320,589120.9081,2155970.128,-1274.247954,1310.947954,-57.84192459,125.3783542,337.2636298,7.35,0.205672403,336.98
1335,589120.1736,2155971.88,-1289.127121,1325.827121,-58.57642629,127.1300836,337.812419,7.204659616,0.322216241,337.5287891
1350,589119.4704,2155973.604,-1304.01105,1340.71105,-59.27955771,128.8540434,338.3836298,7.06,0.322216241,338.1
1365,589118.7978,2155975.298,-1318.89988,1355.59988,-59.95224501,130.5475797,338.8623222,6.899750239,0.340959776,338.5786924
1380,589118.1546,2155976.958,-1333.793742,1370.493742,-60.59541416,132.2080383,339.3636298,6.74,0.340959776,339.08
1395,589117.5399,2155978.59,-1348.691916,1385.391916,-61.21012798,133.8403975,339.9380724,6.619658117,0.275293701,339.6544426
1410,589116.9526,2155980.2,-1363.593711,1400.293711,-61.79745079,135.449639,340.5336298,6.5,0.275293701,340.25
1425,589116.4,2155981.814,-1378.496304,1415.196304,-62.34999073,137.0637743,342.231456,6.567200906,0.409067836,341.9478261
1440,589115.8897,2155983.461,-1393.3968,1430.0968,-62.86035364,138.7108068,343.8936298,6.64,0.409067836,343.61
1455,589115.4031,2155985.127,-1408.295958,1444.995958,-63.34689133,140.3771037,344.1191347,6.654949146,0.060163763,343.8355049
1470,589114.922,2155986.799,-1423.194661,1459.894661,-63.82795999,142.0490457,344.3436298,6.67,0.060163763,344.06
1485,589114.4502,2155988.478,-1438.092836,1474.792836,-64.29978675,143.7283061,344.8350881,6.689757572,0.120970147,344.5514583
1500,589113.9914,2155990.167,-1452.9904,1489.6904,-64.75859849,145.4165571,345.3236298,6.71,0.120970147,345.04
1515,589113.5414,2155991.865,-1467.887042,1504.587043,-65.2085783,147.115288,345.570075,6.749938861,0.09857411,345.2864451
1530,589113.0961,2155993.576,-1482.782454,1519.482454,-65.6539094,148.8259884,345.8136298,6.79,0.09857411,345.53
1545,589112.6561,2155995.275,-1497.679322,1534.379322,-66.09389857,150.5253309,345.7205483,6.654990938,0.270896008,345.4369185
1560,589112.2222,2155996.94,-1512.580286,1549.280286,-66.52785116,152.1899826,345.6236298,6.52,0.270896008,345.34
1575,589111.7959,2155998.584,-1527.483791,1564.183791,-66.95414483,153.8337799,345.8673132,6.484941219,0.08923364,345.5836834
1590,589111.3788,2156000.221,-1542.38833,1579.08833,-67.37115867,155.470565,346.1136298,6.45,0.08923364,345.83
1605,589110.9633,2156001.856,-1557.293017,1593.993017,-67.78669648,157.1063905,345.9479955,6.474973379,0.062328621,345.6643657
1620,589110.5414,2156003.497,-1572.196965,1608.896965,-68.20856216,158.7473091,345.7836298,6.5,0.062328621,345.5
1635,589110.1123,2156005.14,-1587.100544,1623.800544,-68.63767389,160.3896969,345.4986298,6.499920275,0.064525569,345.215
1650,589109.6751,2156006.78,-1602.004124,1638.704124,-69.07494988,162.0299298,345.2136298,6.5,0.064525569,344.93
1665,589109.2399,2156008.409,-1616.908957,1653.608957,-69.51008706,163.6592995,345.450463,6.4149442,0.178257269,345.1668332
1680,589108.8172,2156010.019,-1631.816276,1668.516276,-69.93278175,165.269095,345.6936298,6.33,0.178257269,345.41
1695,589108.3976,2156011.626,-1646.723958,1683.423958,-70.35235823,166.8763562,345.6128818,6.389993823,0.121313936,345.3292519
1710,589107.9719,2156013.248,-1661.629892,1698.329892,-70.77814117,168.4981242,345.5336298,6.45,0.121313936,345.25
1725,589107.5368,2156014.897,-1676.532574,1713.232574,-71.21321849,170.1470257,345.4721839,6.60999641,0.320297822,345.1885541
1740,589107.0893,2156016.586,-1691.430434,1728.130434,-71.66067613,171.8356801,345.4136298,6.77,0.320297822,345.13
1750,589106.7739,2156017.775,-1701.35439,1738.05439,-71.97607386,173.0247135,345.4407207,7.366665377,1.79002402,345.1570909
1760,589106.4326,2156019.064,-1711.264994,1747.964994,-72.31738155,174.3136908,345.4637725,7.963332141,1.79002402,345.1801426
1770,589106.0654,2156020.453,-1721.161171,1757.861171,-72.6845622,175.702472,345.4836298,8.56,1.79002402,345.2
1780,589105.6691,2156021.938,-1731.042121,1767.742121,-73.0809282,177.188215,345.2173571,9.136505107,1.733869952,344.9337273
1790,589105.2402,2156023.518,-1740.907093,1777.607093,-73.50979058,178.7680734,344.9824457,9.713181366,1.733869952,344.6988159
1800,589104.7789,2156025.192,-1750.755081,1787.455081,-73.97110572,180.4418867,344.7736298,10.29,1.733869952,344.49
1810,589104.2912,2156026.978,-1760.582064,1797.282064,-74.45879287,182.2276639,345.2281444,11.05277743,2.302202825,344.9445146
1820,589103.7833,2156028.893,-1770.383514,1807.083514,-74.96674311,184.1433085,345.6246341,11.81614668,2.302202825,345.3410043
1830,589103.2551,2156030.939,-1780.157673,1816.857673,-75.49486531,186.1884769,345.9736298,12.58,2.302202825,345.69
1840,589102.6945,2156033.101,-1789.904659,1826.604659,-76.05548572,188.3512961,345.5412666,13.24937124,2.028917579,345.2576368
1850,589102.0891,2156035.37,-1799.624856,1836.324856,-76.66094004,190.6199304,345.1498012,13.91940152,2.028917579,344.8661714
1860,589101.4389,2156037.744,-1809.31691,1846.01691,-77.31114392,192.9940638,344.7936298,14.59,2.028917579,344.51
1870,589100.7553,2156040.233,-1818.977761,1855.677761,-77.99465657,195.4831017,345.0564122,15.33639954,2.248425649,344.7727824
1880,589100.05,2156042.846,-1828.604152,1865.304152,-78.70001801,198.0963802,345.2953565,16.08307862,2.248425649,345.0117267
1890,589099.3229,2156045.584,-1838.194434,1874.894434,-79.42710753,200.8334521,345.5136298,16.83,2.248425649,345.23
1900,589098.5628,2156048.438,-1847.747854,1884.447854,-80.18721452,203.6878907,345.2367726,17.54299135,2.153001531,344.9531427
1910,589097.7584,2156051.403,-1857.263756,1893.963756,-80.99163,206.6532767,344.9808925,18.25633806,2.153001531,344.6972626
1920,589096.9098,2156054.479,-1866.740647,1903.440647,-81.84022779,209.7291447,344.7436298,18.97,2.153001531,344.46
1930,589096.0268,2156057.672,-1876.17551,1912.87551,-82.72321324,212.9221951,344.9048018,19.73653775,2.305186768,344.621172
1940,589095.1192,2156060.989,-1885.56519,1922.26519,-83.63077272,216.2390601,345.0543841,20.50320924,2.305186768,344.7707542
1950,589094.1873,2156064.429,-1894.908,1931.608,-84.562743,219.6791433,345.1936298,21.27,2.305186768,344.91
1960,589093.2177,2156067.962,-1904.212205,1940.912205,-85.53232655,223.2122641,344.6873856,21.72855241,1.483981282,344.4037558
1970,589092.1972,2156071.559,-1913.486733,1950.186733,-86.55278803,226.8084744,344.2011058,22.18858248,1.483981282,343.917476
1980,589091.126,2156075.218,-1922.730892,1959.430892,-87.62405138,230.4675061,343.7336298,22.65,1.483981282,343.45
1990,589090.011,2156078.947,-1931.941703,1968.641703,-88.7390017,234.1968461,343.5458629,23.17979143,1.604434355,343.2622331
2000,589088.8595,2156082.754,-1941.11611,1977.81611,-89.89051141,238.0039445,343.366036,23.70979611,1.604434355,343.0824062
2010,589087.6715,2156086.639,-1950.253314,1986.953314,-91.07848017,241.8884697,343.1936298,24.24,1.604434355,342.91
2020,589086.4376,2156090.6,-1959.351489,1996.051489,-92.31237753,245.8494587,342.773263,24.79889869,1.756468086,342.4896332
2030,589085.1484,2156094.636,-1968.408709,2005.108709,-93.60165464,249.8858958,342.3702964,25.35892309,1.756468086,342.0866666
2040,589083.8038,2156098.747,-1977.424026,2014.124026,-94.94617688,253.9973596,341.9836298,25.92,1.756468086,341.7
2055,589081.732,2156104.982,-1990.907949,2027.607949,-97.01797616,260.231562,341.8178932,26.04490628,0.288953584,341.5342634
2070,589079.6329,2156111.238,-2004.377503,2041.077503,-99.11706975,266.4876383,341.6536298,26.17,0.288953584,341.37
2085,589077.5191,2156117.502,-2017.840711,2054.540711,-101.230882,272.7524155,341.6236458,26.15499689,0.039993745,341.340016
2100,589075.4032,2156123.763,-2031.305649,2068.005649,-103.3468459,279.0127468,341.5936298,26.14,0.039993745,341.31
